id,title,price,description,location_id,old_state_id,old_municipality_id,street,geo_long,geo_lat,rooms,bathrooms,parking,area,antiquity_year,stories,construction_area,belongs_to,published,archived,deleted_at,created_at,updated_at,show_zip_code,show_address,show_latitude_longitude,show_email,show_phone,show_mobile,show_whatsapp,short_description,custom_floor,pet_friendly,green_tech,zone_type,corner,api_registered,priority,active,postal,zone,space,working_space,ref,type,street_type,temporal_use,floor,remodeling,use,currency,price_unit,external_ref,area_unit,space_unit,construction_date_milestones,ap_order_priority,crm_perk_granted,crm_imported_property,video_url,maintenance_price,tour_url,state_id,municipality_id,postal_code_id,locality_id,has_exclusivity
229685,0,3372000,0,,19,39,Cartagena 117,N/A,N/A,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Cartagena # 117 Col. Rincón de San Jerónimo, Monterrey, Nuevo León C.P. 64637",,0,0,0,0,0,0,0,64637,Rincón de San Jerónimo,220,354.91,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64637,64637,0
248457,0,2367000,0,,19,39,Federico Chopin 116,25.6951639,-100.374113,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Federico Chopin # 116 Col. Colinas de San Jerónimo, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630,Colinas de San Jerónimo,170,311.42,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
282925,0,2286000,0,,19,39,Av. Rogelio Cantu 203 - 203-33 (9-A),25.6742643,-100.3756393,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Av. Rogelio Cantu # 203 Int. 203-33 (9-A) Col. Villas de San Jerónimo Nivel Nueve Condominio Vertical Entrada Río Lerma, Monterrey, Nuevo León C.P. 64634",,0,0,0,0,0,0,0,64634,Villas de San Jerónimo,40.93,125.6,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64634,64634,0
282932,0,2243000,0,,19,39,Av. Rogelio Cantu 203 - 203-34 (9-B),25.6742643,-100.3756393,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Av. Rogelio Cantu # 203 Int. 203-34 (9-B) Col. Villas de San Jerónimo Nivel Nueve Condominio Vertical Entrada Río Lerma, Monterrey, Nuevo León C.P. 64634",,0,0,0,0,0,0,0,64634,Villas de San Jerónimo,40.34,123.24,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64634,64634,0
282949,0,2243000,0,,19,39,Av. Rogelio Cantu 203 - 203-35 (9-C),25.6742643,-100.3756393,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Av. Rogelio Cantu # 203 Int. 203-35 (9-C) Col. Villas de San Jerónimo Nivel Nueve Condominio Vertical Entrada Río Lerma, Monterrey, Nuevo León C.P. 64634",,0,0,0,0,0,0,0,64634,Villas de San Jerónimo,40.34,123.24,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64634,64634,0
282956,0,2204000,0,,19,39,Av. Rogelio Cantu 203 - 203-36 (9-D),25.6742643,-100.3756393,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Av. Rogelio Cantu # 203 Int. 203-36 (9-D) Col. Villas de San Jerónimo Nivel Nueve Condominio Vertical Entrada Río Lerma, Monterrey, Nuevo León C.P. 64634",,0,0,0,0,0,0,0,64634,Villas de San Jerónimo,39.74,121.1,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64634,64634,0
282963,0,2243000,0,,19,39,Av. Rogelio Cantu 203 - 203-41 (11-B),25.6742643,-100.3756393,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Av. Rogelio Cantu # 203 Int. 203-41 (11-B) Col. Villas de San Jerónimo Nivel Once Condominio Vertical Entrada Río Lerma, Monterrey, Nuevo León C.P. 64634",,0,0,0,0,0,0,0,64634,Villas de San Jerónimo,40.34,123.24,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64634,64634,0
329644,0,9226000,0,,19,39,Manuel M. Ponce 387,25.6879031,-100.3630887,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Manuel M. Ponce # 387 Col. Colinas de San Jerónimo 8o. Sector, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630,Colinas de San Jerónimo 8o. Sector,745.12,"1,909.06",0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
334419,0,1601000,0,,19,39,Doctor Francisco Rocha 206 - 503,25.6775468,-100.3550399,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Doctor Francisco Rocha # 206 Int. 503 Col. Colinas de San Jerónimo Nivel 5 Condominio “A” Entrada Río Lerma, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630,Colinas de San Jerónimo,138,138,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
338264,0,3101000,0,,19,39,Pamplona 208,25.6908486,-100.3764766,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Pamplona # 208 Col. Rincón de San Jerónimo, Monterrey, Nuevo León C.P. 64637",,0,0,0,0,0,0,0,64637,Rincón de San Jerónimo,220,340,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64637,64637,0
342841,0,1776000,0,,19,39,Charles Perrault 1545,25.6926212,-100.3757849,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Charles Perrault # 1545 Col. Jardines de San Jerónimo, Monterrey, Nuevo León C.P. 64632",,0,0,0,0,0,0,0,64632,Jardines de San Jerónimo,175,166,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64632,64632,0
345231,0,2286000,0,,19,39,Av. Rogelio Cantu 203 - 203-25 (7-A),25.6742643,-100.3756393,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Av. Rogelio Cantu # 203 Int. 203-25 (7-A) Col. Villas de San Jerónimo Nivel Siete Condominio Vertical Entrada Río Lerma, Monterrey, Nuevo León C.P. 64634",,0,0,0,0,0,0,0,64634,Villas de San Jerónimo,40.93,125.6,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64634,64634,0
345606,0,2243000,0,,19,39,Av. Rogelio Cantu 203 - 203-27 (7-C),25.6742643,-100.3756393,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Av. Rogelio Cantu # 203 Int. 203-27 (7-C) Col. Villas de San Jerónimo Nivel Siete Condominio Vertical Entrada Río Lerma, Monterrey, Nuevo León C.P. 64634",,0,0,0,0,0,0,0,64634,Villas de San Jerónimo,40.34,123.24,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64634,64634,0
345286,0,2243000,0,,19,39,Av. Rogelio Cantu 203 - 203-26 (7-B),25.6742643,-100.3756393,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Av. Rogelio Cantu # 203 Int. 203-26 (7-B) Col. Villas de San Jerónimo Nivel Siete Condominio Vertical Entrada Río Lerma, Monterrey, Nuevo León C.P. 64634",,0,0,0,0,0,0,0,64634,Villas de San Jerónimo,40.34,123.24,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64634,64634,0
345255,0,2204000,0,,19,39,Av. Rogelio Cantu 203 - 203-28 (7-D),25.6742643,-100.3756393,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Av. Rogelio Cantu # 203 Int. 203-28 (7-D) Col. Villas de San Jerónimo Nivel Siete Condominio Vertical Entrada Río Lerma, Monterrey, Nuevo León C.P. 64634",,0,0,0,0,0,0,0,64634,Villas de San Jerónimo,39.74,121.1,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64634,64634,0
351829,0,2182000,0,,19,39,Calle V 429 - 429-18,25.6763192,-100.3567222,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Calle V # 429 Int. 429-18 Col. San Jeronimo Nivel Seis Condominio Vertical Entrada Río Lerma, Monterrey, Nuevo León C.P. 64640",,0,0,0,0,0,0,0,64640,San Jeronimo,75.56,183.34,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64640,64640,0
361347,0,1595000,0,,19,39,Doctor Francisco L. Rocha 424 - 18,25.6775468,-100.3550399,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Doctor Francisco L. Rocha # 424 Int. 18 Col. Colinas de San Jerónimo Nivel Sexto Entrada Río Lerma, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630,Colinas de San Jerónimo,47.29,116.26,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
373388,0,1744000,0,,19,39,Privada Villas de San Jerónimo 106 - 2,25.6936303,-100.3770147,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Privada Villas de San Jerónimo # 106 Int. 2 Col. Fraccionamiento Villas de San Jerónimo Nivel Planta Baja Condominio Vertical Entrada Río Lerma, Monterrey, Nuevo León C.P. 64634",,0,0,0,0,0,0,0,64634,Fraccionamiento Villas de San Jerónimo,70.71,149.25,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64634,64634,0
432092,0,2231000,0,,19,39,Herbert G. Wells 186,N/A,N/A,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Herbert G. Wells # 186 Col. Colinas de San Jerónimo 6o. Sector, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630,Colinas de San Jerónimo 6o. Sector,231,230,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
460408,0,1802000,0,,19,39,Alexander Borodin 229,25.6894059,-100.3697392,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Alexander Borodin # 229 Col. Rincón de San Jerónimo, Monterrey, Nuevo León C.P. 64637",,0,0,0,0,0,0,0,64637,Rincón de San Jerónimo,144,198,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64637,64637,0
478199,0,1408000,0,,19,39,Juan de Dios Treviño 205 - piso 12 loft # 06,N/A,N/A,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Juan de Dios Treviño # 205 Int. piso 12 loft # 06 Col. San Jeronimo Nivel 12 Edificio Torre Murano, Monterrey, Nuevo León C.P. 64100",,0,0,0,0,0,0,0,64100,San Jeronimo,59.9,59.9,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64100,64100,0
478656,0,3806000,0,,19,39,Privada Inglaterra 120,25.6700447,-100.3606277,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Privada Inglaterra # 120 Col. Colinas de San Jerónimo Condominio Colinas de Liverpool, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630,Colinas de San Jerónimo,210,318.24,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
488990,0,1726000,0,,19,39,Avenida Anillo Periférico 1833 - 13,25.69371,-100.3781225,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Avenida Anillo Periférico # 1833 Int. 13 Col. Hacienda San Jerónimo Nivel 5 Edificio Ultra Colinas, Monterrey, Nuevo León C.P. 64637",,0,0,0,0,0,0,0,64637,Hacienda San Jerónimo,38.18,108.55,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64637,64637,0
503822,0,1926000,0,,19,39,Francisco L. Rocha 10 - 36,25.6775468,-100.3550399,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Francisco L. Rocha # 10 Int. 36 Col. San Jerónimo Nivel Nueve Condominio Vertical Edificio Torre UNNO Norte Entrada Francisco L. Rocha, Monterrey, Nuevo León C.P. 64640",,0,0,0,0,0,0,0,64640,San Jerónimo,59.09,111.35,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64640,64640,0
513531,0,3007000,0,,19,39,Pamplona 1613-9 - 501,25.6895829,-100.3766754,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Pamplona # 1613-9 Int. 501 Col. Rincón de San Jerónimo Nivel 5 Edificio ÁNKORA Condominio Entrada Av. Anillo Periférico, Monterrey, Nuevo León C.P. 64637",,0,0,0,0,0,0,0,64637,Rincón de San Jerónimo,87.14,148.87,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64637,64637,0
516334,0,1926000,0,,19,39,Francisco L. Rocha 10 - 37,25.6775468,-100.3550399,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Francisco L. Rocha # 10 Int. 37 Col. San Jerónimo Nivel 10 Edificio Torre UNNO Norte Entrada Francisco L. Rocha, Monterrey, Nuevo León C.P. 64640",,0,0,0,0,0,0,0,64640,San Jerónimo,59.09,111.35,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64640,64640,0
517461,0,2250000,0,,19,39,Felipe Villanueva 220,25.6827962,-100.3591832,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Felipe Villanueva # 220 Col. Colinas de San Jerónimo 11 Onceavo Sector, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630,Colinas de San Jerónimo 11 Onceavo Sector,180,239,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
